Category: All categories

Week,Python: (United States)
2018-04-22,65
2018-04-29,62
2018-05-06,59
2018-05-13,56
2018-05-20,57
2018-05-27,54
2018-06-03,61
2018-06-10,60
2018-06-17,62
2018-06-24,61
2018-07-01,50
2018-07-08,61
2018-07-15,61
2018-07-22,64
2018-07-29,62
2018-08-05,60
2018-08-12,56
2018-08-19,59
2018-08-26,61
2018-09-02,60
2018-09-09,68
2018-09-16,71
2018-09-23,72
2018-09-30,71
2018-10-07,71
2018-10-14,74
2018-10-21,75
2018-10-28,71
2018-11-04,67
2018-11-11,71
2018-11-18,49
2018-11-25,64
2018-12-02,70
2018-12-09,64
2018-12-16,54
2018-12-23,35
2018-12-30,42
2019-01-06,59
2019-01-13,64
2019-01-20,63
2019-01-27,75
2019-02-03,70
2019-02-10,71
2019-02-17,74
2019-02-24,68
2019-03-03,79
2019-03-10,70
2019-03-17,69
2019-03-24,68
2019-03-31,73
2019-04-07,70
2019-04-14,71
2019-04-21,71
2019-04-28,66
2019-05-05,71
2019-05-12,66
2019-05-19,65
2019-05-26,61
2019-06-02,70
2019-06-09,68
2019-06-16,71
2019-06-23,70
2019-06-30,58
2019-07-07,70
2019-07-14,73
2019-07-21,67
2019-07-28,70
2019-08-04,67
2019-08-11,69
2019-08-18,65
2019-08-25,66
2019-09-01,63
2019-09-08,76
2019-09-15,78
2019-09-22,77
2019-09-29,78
2019-10-06,81
2019-10-13,75
2019-10-20,76
2019-10-27,74
2019-11-03,77
2019-11-10,74
2019-11-17,75
2019-11-24,51
2019-12-01,69
2019-12-08,62
2019-12-15,59
2019-12-22,37
2019-12-29,39
2020-01-05,57
2020-01-12,61
2020-01-19,67
2020-01-26,74
2020-02-02,75
2020-02-09,78
2020-02-16,77
2020-02-23,78
2020-03-01,74
2020-03-08,66
2020-03-15,63
2020-03-22,62
2020-03-29,67
2020-04-05,72
2020-04-12,72
2020-04-19,74
2020-04-26,71
2020-05-03,70
2020-05-10,65
2020-05-17,64
2020-05-24,62
2020-05-31,65
2020-06-07,67
2020-06-14,71
2020-06-21,66
2020-06-28,63
2020-07-05,68
2020-07-12,69
2020-07-19,70
2020-07-26,68
2020-08-02,66
2020-08-09,64
2020-08-16,65
2020-08-23,62
2020-08-30,65
2020-09-06,65
2020-09-13,70
2020-09-20,71
2020-09-27,62
2020-10-04,65
2020-10-11,55
2020-10-18,56
2020-10-25,53
2020-11-01,43
2020-11-08,51
2020-11-15,51
2020-11-22,41
2020-11-29,52
2020-12-06,50
2020-12-13,45
2020-12-20,34
2020-12-27,30
2021-01-03,40
2021-01-10,43
2021-01-17,44
2021-01-24,46
2021-01-31,53
2021-02-07,51
2021-02-14,51
2021-02-21,54
2021-02-28,54
2021-03-07,50
2021-03-14,48
2021-03-21,50
2021-03-28,49
2021-04-04,50
2021-04-11,49
2021-04-18,51
2021-04-25,50
2021-05-02,47
2021-05-09,46
2021-05-16,43
2021-05-23,45
2021-05-30,42
2021-06-06,47
2021-06-13,48
2021-06-20,47
2021-06-27,45
2021-07-04,44
2021-07-11,49
2021-07-18,45
2021-07-25,46
2021-08-01,45
2021-08-08,45
2021-08-15,44
2021-08-22,48
2021-08-29,49
2021-09-05,52
2021-09-12,59
2021-09-19,62
2021-09-26,64
2021-10-03,61
2021-10-10,65
2021-10-17,60
2021-10-24,63
2021-10-31,59
2021-11-07,58
2021-11-14,60
2021-11-21,44
2021-11-28,54
2021-12-05,55
2021-12-12,49
2021-12-19,35
2021-12-26,30
2022-01-02,56
2022-01-09,62
2022-01-16,64
2022-01-23,81
2022-01-30,77
2022-02-06,85
2022-02-13,96
2022-02-20,90
2022-02-27,89
2022-03-06,82
2022-03-13,84
2022-03-20,80
2022-03-27,92
2022-04-03,96
2022-04-10,88
2022-04-17,100
2022-04-24,88
2022-05-01,85
2022-05-08,78
2022-05-15,71
2022-05-22,72
2022-05-29,66
2022-06-05,76
2022-06-12,73
2022-06-19,74
2022-06-26,75
2022-07-03,71
2022-07-10,79
2022-07-17,79
2022-07-24,74
2022-07-31,75
2022-08-07,75
2022-08-14,70
2022-08-21,76
2022-08-28,76
2022-09-04,77
2022-09-11,89
2022-09-18,92
2022-09-25,90
2022-10-02,91
2022-10-09,92
2022-10-16,91
2022-10-23,94
2022-10-30,89
2022-11-06,90
2022-11-13,90
2022-11-20,62
2022-11-27,82
2022-12-04,85
2022-12-11,77
2022-12-18,58
2022-12-25,48
2023-01-01,60
2023-01-08,73
2023-01-15,74
2023-01-22,83
2023-01-29,88
2023-02-05,95
2023-02-12,90
2023-02-19,88
2023-02-26,91
2023-03-05,85
2023-03-12,79
2023-03-19,82
2023-03-26,77
2023-04-02,79
2023-04-09,79
2023-04-16,48
